	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
						Add. 14,632	2#576-581	DCXCV	#N/A	DCXCV	695	695	Approx. 10c	382				Daniel 	Drafted		
						Add. 14,728, foll. 208-238	2#581	DCXCVI	#N/A	#N/A	696	696	Approx. 12c-13c	627							
			DCCXXII			Add. 14,728, foll. 239-268	2#581-584	DCXCVII	#N/A	#N/A	697	697	Approx. 12c-13c	628							
			DCCXXIII			Add. 14,729, foll. 199-234	2#584-585	DCXCVIII	#N/A	#N/A	698	698	Approx. 12c-13c	634							
						Add. 14,551	2#485	DCXI	DCXI	DCXI	611	611	Approx. 8c	282				Justin	Drafted		
						Add. 14,552	2#485-486	DCXII	DCXII	DCXII	612	612	Approx. 7c-8c	283				Justin	Drafted		
						Add. 12,135, foll. 44-207	2#486-487	DCXIII	DCXIII	#N/A	613	613	611	7				Tucker	Framework established for a later stage		
						Add. 14,556	2#487-488	DCXIV	DCXIV	DCXIV	614	614	Approx. 6c-7c	287				Justin	Drafted		
			DCCXXVIII			Add. 17,151	2#490-491	DCXIX	DCXIX	DCXIX	619	619	Approx. 7c	780				Sung Uk	Drafted and edited	Justin, 10/13/2014	
			nnDCCXXX			Add. 14,574, foll. 34-40	2#508-509	DCXL	#N/A	DCXL	640	640	Approx. 6c-7c	310				Justin	Drafted		
			DCCXXXI			Add. 17,184	2#509-510	DCXLI	#N/A	DCXLI	641	641	Approx. 6c-7c	838				Jessie	Drafted		
			DCCXXXII			Add. 14,670, foll. 30-35	2#51	DCXLII	#N/A	DCXLII	642	642	Approx. 6c-7c	519				Justin	Drafted		
			DCCXXXIII			Add. 14,670, foll. 26-29	2#51	DCXLIII	#N/A	DCXLIII	643	643	Approx. 6c-7c	518				Justin	Drafted		
			DCCXXXIV			Add. 14,670, foll. 36, 37	2#511	DCXLIV	DCXLIV	DCXLIV	644	644	Approx. 6c-7c	520				Justin	Drafted		
						Add. 14,670, fol. 38	2#512	DCXLIX	DCXLIX	DCXLIX	649	649	Approx. 7c	521				Justin	Drafted		
						Add. 17,159, foll. 1-63	2#511	DCXLV	DCXLV	DCXLV	645	645	Approx. 7c	795				Training Group: Susannah, Julia, Sung Uk, Kayla	Drafted and edited	Justin, 10/13/2014	
						Add. 17,159, foll. 64-93	2#511-512	DCXLVI	DCXLVI	#N/A	646	646	Approx. 7c	796							
						Add. 14,670, fol. 39	2#512	DCXLVII	DCXLVII	DCXLVII	647	647	Approx. 7c	522				Justin	Drafted		
			DCCXXXIX			Add. 14,630, fol. 28	2#512	DCXLVIII	DCXLVIII	DCXLVIII	648	648	Approx. 7c	376				Peter	Drafted		
			DCCXL			Add. 17,217, foll. 33-36	2#488	DCXV	DCXV	DCXV	615	615	Approx. 8c	932				Daniel	Drafted		
			DCCXLI			Add. 17,217, fol. 39	2#488-489	DCXVI	DCXVI	DCXVI	616	616	Approx. 6c-7c	934				Daniel	Drafted		
			DCCXLII			Add. 18,818	2#489	DCXVII	DCXVII	DCXVII	617	617	Approx. 7c	1126				Peter	Drafted		
			DCCXLIII			Add. 14,553	2#489-490	DCXVIII	DCXVIII	DCXVIII	618	618	Approx. 6c-7c	284				Justin	Drafted		
			DCCXLIV			Add. 12,166, foll. 155-258	2#491-492	DCXX	DCXX	DCXX	620	620	553	48				Justin	Drafted		
			DCCXLV			Add. 14,554	2#492	DCXXI	DCXXI	DCXXI	621	621	Approx. 9c	285				Justin	Drafted		
			DCCXLVI			Add. 17,150	2#492-493	DCXXII	DCXXII	DCXXII	622	622	Approx. 7c-8c	779				Susannah	Drafted and edited	Justin, 10/6/2014	
			DCCXLVII			Add. 17,215, foll. 28, 29	2#493	DCXXIII	DCXXIII	DCXXIII	623	623	Approx. 10c	902				Peter	Drafted		
			DCCXLVIII			Add. 14,523, foll. 49-56	2#493	DCXXIV	DCXXIV	DCXXIV	624	624	Approx. 10c	232				Peter	Drafted		
						Add. 22,370	2#500-501	DCXXIX	#N/A	DCXXIX	629	629	Approx. 14c-15c	1140				Kayla	Drafted		
						Add. 12,151	2#493-497	DCXXV	DCXXV	DCXXV	625	625	804	26				Justin	Drafted		
						Add. 12,152	2#497-499	DCXXVI	DCXXVI	DCXXVI	626	626	837	27				Jessie	Drafted and edited	Will, 02/05/2020	
						Add. 14,539	2#499	DCXXVII	DCXXVII	DCXXVII	627	627	Approx. 9c	266				Kim	Drafted		
						Add. 14,540	2#499-500	DCXXVIII	#N/A	DCXXVIII	628	628	Approx. 9c	267				Peter	Drafted		
						Add. 14,541, foll. 1-10	2#501-502	DCXXX	#N/A	DCXXX	630	630	Approx. 9c	269				Peter	Drafted		
			DCCLV			Add. 14,541, foll. 11-18	2#501-502	DCXXX	#N/A	DCXXX	630	630	Approx. 9c	1417				Peter	Drafted		
			DCCLVI			Add. 14,541, foll. 19-24	2#501-502	DCXXX	#N/A	DCXXX	630	630	Approx. 9c	1418				Peter	Drafted		
			DCCLVII			Add. 14,541, foll. 25-26	2#501-502	DCXXX	#N/A	DCXXX	630	630	Approx. 9c	1419				Peter	Drafted		
			DCCLVIII			Add. 14,541, foll. 27-28	2#501-502	DCXXX	#N/A	DCXXX	630	630	Approx. 9c	1420				Peter	Drafted		
			DCCLIX			Add. 14,541, foll. 29-38	2#501-502	DCXXX	#N/A	DCXXX	630	630	Approx. 9c	1421				Peter	Drafted		
			DCCLX			Add. 14,585	2#502-503	DCXXXI	#N/A	DCXXXI	631	631	Approx. 7c	321				James	Drafted and edited	Justin, 4/6/2015	
			DCCLXI			Add. 17,198	2#503	DCXXXII	#N/A	#N/A	632	632	Approx. 7c	856							
			DCCLXII			Add. 14,586	2#503	DCXXXIII	#N/A	DCXXXIII	633	633	Approx. 7c-8c	322				James	Drafted and edited	Justin, 4/6/2015	
			DCCLXIII			Add. 17,215, fol. 34	2#503-504	DCXXXIV	#N/A	DCXXXIV	634	634	Approx. 8c-9c	904				Peter	Drafted		
			DCCLXIV			Add. 17,155	2#507-508	DCXXXIX	#N/A	DCXXXIX	639	639	Approx. 6c-7c	784				Kayla	Drafted and edited	Justin, 10/9/2014	
			DCCLXV			Add. 17,242, foll. 1-104	2#504	DCXXXV	#N/A	#N/A	635	635	Approx. 11c-12c	1030							
			DCCLXVI			Add. 17,157	2#504-505	DCXXXVI	#N/A	DCXXXVI	636	636	565	789				Kayla	Drafted		
			DCCLXVII			Add. 17,161	2#505-506	DCXXXVII	#N/A	DCXXXVII	637	637	Approx. 6c	804				Kayla	Drafted		
			DCCLXVIII			Add. 14,584	2#506-507	DCXXXVIII	#N/A	DCXXXVIII	638	638	Approx. 6c-7c	320				James	Drafted		
			DCCLXIX			Add. 14,667, foll. 46-49	1#384-385	DI	DI	#N/A	501	501	Approx. 10c	471							
			DCCLXX			Add. 14,517	1#385-388	DII	DII	#N/A	502	502	Approx. 10c-11c	211							
			DCCLXXI			Add. 17,215, foll. 22-25 upper text	1#388	DIII	DIII	DIII	503	503	Approx. 10c-11c	900				Peter	Drafted		
			DCCLXXII			Add. 17,215, foll. 22-25 lower text	1#388	DIII	DIII	DIII	503	503	Approx. 9c	1409				Peter	Drafted		
						Add. 14,523, foll. 39-46 upper text	1#388	DIV	DIV	DIV	504	504	Approx. 10c-11c	230				Peter	Drafted		
						Add. 14,523 foll. 39-46 lower text		DIV	DIV	DIV	504	504		1407				Peter	Drafted		
						Add. 14,729, foll. 193-198	1#389-390	DIX	DIX	#N/A	509	509	Approx. 13c	633							
						(Add. 14,543)	2#419-420	DL	DL	DL	550	550	Approx. 6c	274				Justin	Drafted		
						Add. 14,543, fol. 1	2#420	DL	DL	DL	550	550	Approx. 6c	1189				Justin	Drafted		
						Add. 14,543, fol. 1-147	2#419-420	DL	DL	DL	550	550	Approx. 6c	1190				Justin	Drafted		
			DCCLXXIX			Add. 17,186	2#420-421	DLI	DLI	DLI	551	551	Approx. 6c	840				Justin	Drafted		
			DCCLXXX			Add. 14,544	2#421-422	DLII	DLII	DLII	552	552	Approx. 5c-6c	275				Justin	Drafted		
			DCCLXXXI			Add. 14,545	2#422	DLIII	DLIII	DLIII	553	553	Approx. 6c	276				Justin	Drafted		
			DCCLXXXII			Add. 14,634, foll. 52-57	2#422-423	DLIV	DLIV	DLIV	554	554	Approx. 9c	388				Justin	Drafted		
			DCCLXXXIII			Add. 18,815	2#436-437	DLIX	DLIX	DLIX	559	559	Approx. 9c	1123				Justin	Drafted		
			DCCLXXXIV			Add. 12,153	2#423-428	DLV	DLV	DLV	555	555	845	28				Justin	Drafted		
			DCCLXXXV			Add. 14,549	2#428-431	DLVI	DLVI	DLVI	556	556	Approx. 8c-9c	280				Justin	Drafted		
						Add. 14,547	2#431-434	DLVII	DLVII	DLVII	557	557	Approx. 9c	278				Justin	Drafted		
						Add. 14,548	2#434-436	DLVIII	DLVIII	DLVIII	558	558	790	279				Justin	Drafted		
						Add. 17,146	2#437-438	DLX	DLX	DLX	560	560	Approx. 6c-7c	775				Susannah	Drafted and edited	Justin, 10/1/2014	
			DCCLXXXIX			Add. 17,147	2#438-440	DLXI	DLXI	DLXI	561	561	Approx. 8c-9c	776				Kayla	Drafted		
			DCCXC			Add. 17,197, foll. 1-25	2#440-441	DLXII	DLXII	DLXII	562	562	Approx. 9c-10c	854				Daniel	Drafted		
			DCCXCI			Add. 14,725, foll. 100-215	2#441-443	DLXIII	DLXIII	#N/A	563	563	Approx. 10c-11c	618							
			DCCXCII			Add. 14,550	2#443-444	DLXIV	DLXIV	DLXIV	564	564	Approx. 6c	281				Justin	Drafted		
			DCCXCIII			Add. 14,541, foll. 50, 51	2#450	DLXIX	DLXIX	DLXIX	569	569	Approx. 6c-7c	271				Peter	Drafted		
			DCCXCIV			Add. 14,635, foll. 1-4	2#445	DLXV	DLXV	DLXV	565	565	Approx. 6c	390				Justin	Drafted		
			DCCXCV			Add. 12,163, foll. 305-311	2#445	DLXVI	DLXVI	DLXVI	566	566	Approx. 7c	43				Kayla	Drafted		
			DCCXCVI			Add. 14,578	2#445-449	DLXVII	DLXVII	#N/A	567	567	Approx. 6c-7c	314							
			DCCXCVII			Add. 14,635, foll. 5-15	2#449-450	DLXVIII	DLXVIII	DLXVIII	568	568	Approx. 6c	391				Justin	Drafted		
			DCCXCVIII			Add. 14,522, fol. 46	2#450	DLXX	DLXX	DLXX	570	570	Approx. 9c-10c	221				Peter	Drafted		
			DCCXCIX			Add. 17,217, foll. 46, 47	2#450	DLXXI	DLXXI	#N/A	571	571	Approx. 9c-10c	941				Daniel	Framework established for a later stage		
			DCCC			Add. 17,169	2#450-454	DLXXII	DLXXII	#N/A	572	572	581	819				Jessie	In Progress		
			DCCCI			Add. 17,170	2#454-458	DLXXIII	DLXXIII	DLXXIII	573	573	774-5	820				Jessie	Drafted		
			DCCCII			Add. 17,201, foll. 16-21	2#458	DLXXIV	DLXXIV	DLXXIV	574	574	Approx. 8c	861				Peter	Drafted and edited	Will P., 03/03/2020	
			DCCCIII			Add. 14,670, foll. 8-13	2#464	DLXXIX	DLXXIX	DLXXIX	579	579	Approx. 9c	513				Justin	Drafted		
			DCCCIV			Add. 12,170, foll. 1-135	2#458-461	DLXXV	DLXXV	DLXXV	575	575	604	55				Justin	Drafted		
			DCCCV			Add. 14,575	2#461-462	DLXXVI	DLXXVI	DLXXVI	576	576	Approx. 7c	311				Justin	Drafted		
			l			Add. 14,576	2#462-464	DLXXVII	DLXXVII	DLXXVII	577	577	Approx. 8c	312				Justin	Drafted		
						Add. 14,670, fol. 14	2#464	DLXXVIII	DLXXVIII	DLXXVIII	578	578	Approx. 6c	514				Justin	Drafted		
						Add. 12,172, foll. 1-11	2#465	DLXXX	DLXXX	DLXXX	580	580	Approx. 10c	62				Tucker	Drafted and edited	Tucker, 11/9	
						Add. 17,201, foll. 26-32	2#465	DLXXXI	DLXXXI	DLXXXI	581	581	Approx. 9c-10c	863				Peter	Drafted and edited	Will P., 03/03/2020	
						Add. 12,142, foll. 108-242	2#465-466	DLXXXII	DLXXXII	#N/A	582	582	Approx. 6c (early)	17					Framework established for a later stage		
						Add. 14,558	2#466-467	DLXXXIII	DLXXXIII	DLXXXIII	583	583	557	289				Justin	Drafted		
						Add. 14,560	2#467	DLXXXIV	DLXXXIV	DLXXXIV	584	584	Approx. 6c	291				Justin	Drafted		
			`DCCCXIII			Add. 14,563	2#471	DLXXXIX	DLXXXIX	DLXXXIX	589	589	Approx. 7c-8c	294				Justin	Drafted		
			DCCCXIV			Add. 14,559	2#468-269	DLXXXV	DLXXXV	DLXXXV	585	585	Approx. 6c	290				Justin	Drafted		
			DCCCXV			Add. 14,561	2#469	DLXXXVI	DLXXXVI	DLXXXVI	586	586	Approx. 6c-7c	292				Justin	Drafted		
			DCCCXVI			Add. 12,161	2#469-470	DLXXXVII	DLXXXVII	DLXXXVII	587	587	Approx. 6c-7c	38				Jessie	Drafted and edited	Will, 02/06/2020	
			DCCCXVII			Add. 14,562	2#470-471	DLXXXVIII	DLXXXVIII	DLXXXVIII	588	588	Approx. 7c-8c	293				Justin	Drafted		
			DCCCXVIII			Add. 14,667, foll. 39, 40	1#388-389	DV	DV	#N/A	505	505	Approx. 10c-11c	467							
			DCCCXIX			Add. 14,664, foll. 18, 19, 30-33	1#389	DVI	DVI	DVI	506	506	Approx. 10c	434				Tucker	Drafted and edited	Tucker, 2/21/2014	
			DCCCXX			Add. 14,664, foll. 18, 19, 30-32	1#389	DVI	DVI	DVI	506	506	Approx. 12c-13c	1188				Tucker	Drafted and edited	Tucker, 2/21/2014	
			DCCCXXI			Add. 14,665, foll. 21-24 upper text	1#389	DVII	DVII	#N/A	507	507	Approx. 12c-13c	441							
			DCCCXXII			Add. 14,665, foll. 21-24 lower text	1#389	DVII	DVII	#N/A	507	507	Approx. 5c-6c	1185							
			DCCCXXIII			Add. 14,665, fol. 25	1#389	DVIII	DVIII	#N/A	508	508	Approx. 10c	442							
			DCCCXXIV			Add. 14,736, foll. 49-52	1#390	DX	DX	DX	510	510	1483	664				Will Potter	Drafted		
			DCCCXXV			Add. 12,160, foll. 1-108	2#472-473	DXC	DXC	DXC	590	590	584	36				Justin	Drafted		
						Add. 14,564	2#473-474	DXCI	DXCI	DXCI	591	591	Approx. 6c-7c	295				Justin	Drafted		
			dcccxxvii			Add. 12,180	2#474-475	DXCII	DXCII	DXCII	592	592	Approx. 6c- Approx. 7c	79				Lewis	Drafted and edited	Justin 4/13/2015	
			DCCXXVIII			Add. 14,565	2#475-476	DXCIII	DXCIII	DXCIII	593	593	Approx. 6c-7c	296				Justin	Drafted		
			DCCCXXIX			Add. 14,566, foll. 1-28	2#476	DXCIV	DXCIV	DXCIV	594	594	Approx. 6c	298				Justin	Drafted		
			DCCCXXX			Add. 14,670, fol. 1	2#48	DXCIX	DXCIX	DXCIX	599	599	Approx. 6c-7c	511				Justin	Drafted		
			DCCCXXXI			Add. 14,566, foll. 29-112	2#476-477	DXCV	DXCV	DXCV	595	595	Approx. 6c-7c	299				Justin	Drafted		
			DCCCXXXII			Add. 17,152	2#477-478	DXCVI	DXCVI	DXCVI	596	596	594	781				Kayla	Drafted and edited	Justin, 10/7/2014	
			DCCCXXXIII			Add. 14,567	2#478-479	DXCVII	DXCVII	DXCVII	597	597	Approx. 6c	300				Justin	Drafted		
			DCCCXXXIV			(Add. 17,212)	2#479-480	DXCVIII	DXCVIII	DXCVIII	598	598	Approx. 9c-10c	873				Jessie	Drafted and edited	Lindsay 5/28/2020	palimpsest has been added LR: Many comments/questions remain on these documents as to how to properly format the palimpsest and the various sections of each part...drafted and edited...sorta...
			DCCCXXXV			Add. 17,212, upper text 2	2#479-480	DXCVIII	DXCVIII	DXCVIII	598	598	Approx. 9c-10c	1437				Will Potter	Drafted	msParts, edit with full ms	cf. 873
			DCCCXXXVI			Add. 17,212, upper text 1	2#479-480	DXCVIII	DXCVIII	DXCVIII	598	598	Approx. 8c-9c	1438				Will Potter	Drafted	msParts, edit with full ms	cf. 873; this ms has two layers of underwriting. This is the more recent
			DCCCXXXVII			Add. 17,212, lower text	2#479-480	DXCVIII	DXCVIII	DXCVIII	598	598	Approx. 6c-7c	1439				Will Potter	Drafted	msParts, edit with full ms	cf. 873; this ms has two layers of underwriting. This is the most ancient
			DCCCXXXVIII			Add. 14,692, foll. 1-24	1#390-391	DXI	DXI	#N/A	511	511	Approx. 15c	553							
			DCCCXXXIX			Add. 14,736, fol. 60	1#391	DXII	DXII	DXII	512	512	Approx. 15c	669				Will Potter	Drafted		
			DCCCXL			Add. 17,130	1#392-393	DXIII	#N/A	#N/A	513	513	877	759							
			DCCCXLI			Add. 14,525, foll. 1-10	1#393-394	DXIV	DXIV	#N/A	514	514	Approx. 9c-10c	243							
			DCCCXLII			Add. 14,736, fol. 48	1#396	DXIX	DXIX	DXIX	519	519	Approx. 13c	663				Will Potter	Drafted		
			DCCCXLIII			Add. 14,573	2#413-414	DXL	DXL	DXL	540	540	Approx. 6c	306				Justin	Drafted		
			DCCCXLIV			Add. 14,635, foll. 16-18	2#414	DXLI	DXLI	DXLI	541	541	Approx. 6c (555)	392				Justin	Drafted		
			DCCCXLV			Add. 14,627	2#415	DXLII	DXLII	DXLII	542	542	Approx. 6c-7c	367				Justin	Drafted		
			DCCCXLVI			Add. 17,218, fol. 43	2#415	DXLIII	DXLIII	DXLIII	543	543	Approx. 7c	960				Tucker; Justin	Drafted		
			DCCCXLVII			Add. 17,158, fol. 57	2#416	DXLIV	DXLIV	DXLIV	544	544	Approx. 8c	793				Erin	Drafted		
			DCCCXLVIII			Add. 14,635, foll. 19, 20	2#419	DXLIX	DXLIX	DXLIX	549	549	Approx. 8c-9c	393				Justin	Drafted		
			DCCCXLIX			Add. 14,736, foll. 4-9	2#416	DXLV	DXLV	DXLV	545	545	Approx. 13c	655				Will Potter	Drafted		
			DCCCL			Add. 17,143	2#416	DXLVI	DXLVI	DXLVI	546	546	Approx. 5c	772				Justin	Drafted		
			DCCCLI			Add. 14,542	2#416-418	DXLVII	DXLVII	DXLVII	547	547	509	273				Justin	Drafted		
			DCCCLII			Add. 17,145	2#418-419	DXLVIII	DXLVIII	DXLVIII	548	548	Approx. 8c-9c	774				Justin	Drafted		
			DCCCLIII			Add. 14,502	1#394-395	DXV	DXV	DXV	515	515	Approx. 12c	192				Anna	Drafted and edited	Lindsay, 03/27/2020	
			DCCCLIV			Add. 17,131	1#395	DXVI	DXVI	#N/A	516	516	Approx. 12c	760							
			DCCCLV			Add. 17,218, fol. 55	1#395	DXVII	DXVII	#N/A	517	517	Approx. 12c	967				Tucker	Framework established for a later stage		
			DCCCLVI			Add. 14,717, foll. 1-58	1#395-396	DXVIII	DXVIII	#N/A	518	518	Approx. 13c	595							
			DCCCLVII			Add. 14,706	1#396-397	DXX	DXX	#N/A	520	520	Approx. 13c	572							
			DCCCLVIII			Add. 17,260	1#397-398	DXXI	DXXI	DXXI	521	521	Approx. 12c-13c	1073				Jessie	Drafted and edited	Lindsay 5/30/20	
			DCCCLIX			Add. 14,636, foll. 1-56	1#398	DXXII	DXXII	#N/A	522	522	Approx. 9c-10c	396							
			DCCCLX			Add. 14,638, foll. 1-18	1#398-399	DXXIII	DXXIII	#N/A	523	523	Approx. 9c-10c	401							
			DCCCLXI			Add. 14,638, foll. 19-26	1#399	DXXIV	DXXIV	#N/A	524	524	Approx. 10c	402							
						Add. 17,182, foll. 1-99	2#403-404	DXXIX	DXXIX	DXXIX	529	529	474	835				Justin	Drafted		
						Add. 14,725, foll. 96-98	1#399	DXXV	DXXV	#N/A	525	525	Approx. 10c-11c	616							
						Add. 14,725, fol. 99	1#399	DXXVI	DXXVI	#N/A	526	526	Approx. 10c-11c	617							
						Add. 17,213, foll. 4,5	2#401	DXXVII	#N/A	DXXVII	527	527	Approx. 6c	877				Erin and Justin	Drafted		
						Add. 14,619	2#401-403	DXXVIII	#N/A	DXXVIII	528	528	Approx. 6c	359				Erin and Justin	Drafted		
						Add. 17,182, foll. 100-174	2#404-405	DXXX	DXXX	DXXX	530	530	512	836				Justin	Drafted		
						Add. 17,182, foll. 175	2#405	DXXX	DXXX	DXXX	530	530	Approx. 6c	1184				Justin	Drafted		
						Add. 14,568	2#405-406	DXXXI	DXXXI	DXXXI	531	531	599	301				Justin	Drafted		
						Add. 14,569	2#406	DXXXII	DXXXII	DXXXII	532	532	Approx. 8c	302				Justin	Drafted		
						Add. 14,570	2#406-407	DXXXIII	DXXXIII	DXXXIII	533	533	Approx. 5c-6c	303				Justin	Drafted		
						Add. 17,189, foll. 1-16	2#407	DXXXIV	DXXXIV	DXXXIV	534	534	Approx. 5c-6c	844				Justin	Drafted		"How to encode ""fine, Edessene hand""?"
						Add. 14,571	2#410-413	DXXXIX	DXXXIX	DXXXIX	539	539	519	304				Justin	Drafted		Madrasha missing loci. How to encode? msItems or incipits? 
						Add. 14,574, foll. 1-19	2#407-408	DXXXV	DXXXV	DXXXV	535	535	Approx. 6c	308				Justin	Drafted		
						Add. 14,574, foll. 20-33	2#408-409	DXXXVI	DXXXVI	DXXXVI	536	536	Approx. 5c-6c	309				Justin	Drafted		
						Add. 12,176	2#409-410	DXXXVII	DXXXVII	DXXXVII	537	537	Approx. 5c-6c	75				Justin	Drafted		
						Add. 14,572	2#41	DXXXVIII	DXXXVIII	DXXXVIII	538	538	Approx. 6c	305				Justin	Drafted		
						Egerton 704	1#1-3	I	I	I	1	1	Approx. 17c	1153				Tucker	Drafted		
						Add. 14,671	1#3	II	II	II	2	2	Approx. 13c	523				Tucker	Drafted and edited	Tucker, 9/27	
						Add. 14,425	1#3-5	III	III	III	3	3	464	81		12		Daniel	Drafted and edited	Tucker, 12/31	"There is a statement that ""Foll. 1-6, 9, and 19, have been inserted, to replace lost leaves, apparently about the viiith cent."" I think we've been putting these kinds of statements into <conditions>, but couldn't it go in <custodialHist> because it's about repair efforts? Thoughts?"
						Add. 14,427	1#5-6	IV	IV	IV	4	4	Approx. 6c	83				Tucker	Drafted and edited	Tucker, 11/9	
						Add. 12,133, foll. 1-108	1#7-8	IX	IX	IX	9	9	Approx. 8c (early)	2				Daniel	Drafted and edited	Tucker, 8/14	"https://github.com/srophe/manuscripts/blob/master/1.xml#L88 Watch for the true page numbers of the item within the part, as in this case where the part runs from 1-108 but the item runs from 3-107. ||||| https://github.com/srophe/manuscripts/blob/master/1.xml#L120-122 <layout> doesn't need <locus> unless there is more than one <layout> in the <msPart>. Otherwise it is assumed that the <layout> applies to the entire locus range of that <msPart>. ||||| https://github.com/srophe/manuscripts/blob/master/1.xml#L151-157 I moved the ""Subscription"" to the <msItem> as a <finalRubric> and left the rest in the <addition> and referenced it as a <colophon> within the <msItem>. ||||| https://github.com/srophe/manuscripts/blob/master/1.xml#L208-213 I added <origin> and included a reference in <provenance> to the relevant <additions>."
						Add. 14,437, foll. 1-46	1#31	L	L	L	50	50	Approx. 8c	98				Daniel	Drafted and edited	Tucker, 8/28	"Only had to make minor changes like turning some <foreign>s to <quote>s and adapting the <msItem>s for Aquila, Symmachus, etc. to the level organization we decided those should have (i.e., all at ""a"" level)"
						Add. 12,133, foll. 109-169	1#31-32	LI	LI	LI	51	51	Approx. 8c	3				Daniel	Drafted and edited	Tucker, 8/14	https://github.com/srophe/manuscripts/blob/master/1.xml#L284-288 Adjusted the hierarchical levels of the Hexaplaric works ||||| https://github.com/srophe/manuscripts/blob/master/1.xml#L310-312 This one isn't a big deal at all. I just like to divide the condition into shorter chunks by separating the distinct topics (damaged folia, missing folia, etc.) into separate <p>s. ||||| https://github.com/srophe/manuscripts/blob/master/1.xml#L323 This is an interesting question: the <msItem> is Paul of Tella's translation, but does that mean he's the scribe necessarily? Or is the Paul of Tella translation just a version and the scribe is unspecified? When I've encountered these I've been assuming the latter.
						Add. 17,103	1#32-33	LII	LII	LII	52	52	Approx. 8c	730				Daniel	Drafted and edited	Tucker, 9/4	Arranged <msItem>s and made loci human-readable
			DCCCCXXXY			Add. 14,437, foll. 47-124	1#33-34	LIII	LIII	LIII	53	53	Approx. 8c	99				Daniel	Drafted and edited	Tucker, 8/28	Made the fly leaves a new msPart. Otherwise just the same kind of standardizing as above.
			DCCCCXXXVI			Add. 14,437, foll. 123-124	1#34	LIII	LIII	LIII	53	53		1175				Tucker	Drafted and edited	Tucker, 8/28	
			DCCCCXXXVII			Add. 14,434, foll. 1-79	1#35-36	LIV	LIV	LIV	54	54	Approx. 8c (early)	91				Daniel	Drafted and edited	Tucker, 8/24	Looks good. Only had to change a couple relatively small things (changing some <foreign>s to <quote>s, for example. I guess the biggest thing in this area, though, was updating the Latin tagging with the <g> mark-up and adding a <charDecl> to the <encodingDesc> at the bottom.
			DCCCCXXXVIII			Add. 14,668, foll. 4-11	1#37	LIX	LIX	LIX	59	59	Approx. 8c	485				Tucker	Drafted and edited	Tucker, 2/28/2014	
			DCCCCXXXIX			Add. 14,434, foll. 80-128	1#36-37	LV	LV	LV	55	55	Approx. 8c	92				Daniel	Drafted and edited	Tucker, 8/24	Further, in line 328 (I think), what is the best way to make a reference to the previous <msPart> here? Should it be referenced using the internal system (i.e., its @xml:id) or using the universal system (i.e., its URI)?
			DCCCCXL			Add. 17,257, foll. 84-94	1#37	LVI	LVI	LVI	56	56	Approx. 13c	1063				Daniel	Drafted		
			DCCCCXLI			Add. 17,213, foll. 1,2	1#37	LVII	LVII	LVII	57	57	Approx. 9c	875				Tucker	Drafted		
			DCCCCXLII			Add. 14,668, foll. 26-29	1#37	LVIII	LVIII	LVIII	58	58	Approx. 8c	488				Tucker	Drafted and edited	Tucker, 2/28/2014	
			DCCCCXLIII			Add. 14,429	1#37-39	LX	LX	LX	60	60	719	85				Tucker	Drafted and edited	Daniel 8/24	Looks good. Did some editing. 
			DCCCCXLIV			Add. 14,441	1#39	LXI	LXI	LXI	61	61	719	105				Tucker	Drafted and edited	Daniel 8/27	looks fine! 
			DCCCCXLV			Add. 14,664, foll. 22-29	1#39	LXII	LXII	LXII	62	62	Approx. 10c-11c	435				Tucker	Drafted and edited	Tucker, 2/21/2014	
			DCCCCXLVI			Add. 14,470	1#40-41	LXIII	LXIII	LXIII	63	63	Approx. 5c-6c, 9c	153				Tucker	Drafted and edited	Tucker, 1/3/2014	
			DCCCCXLVII			Add. 14,448	1#41-42	LXIV	LXIV	LXIV	64	64	699-700	120				Tucker	Drafted and edited	Daniel, 9/2	⁃ https://github.com/srophe/manuscripts/blob/master/120.xml#L156 ||| Question left by Tucker to be addressed
			DCCCCXLVIII			Add. 14,449	1#46-47	LXIX	LXIX	LXIX	69	69	Approx. 6c-7c	121				Tucker	Drafted and edited	Daniel, 9/2	⁃ https://github.com/srophe/manuscripts/blob/master/121.xml#L107 ||| Do these need to become msItems? (Edited already)
			DCCCCXLIX			Add. 17,124	1#42-44	LXV	LXV	LXV	65	65	1234	753				Tucker	Drafted		
			DCCCCL			Add. 14,453	1#44-45	LXVI	LXVI	LXVI	66	66	Approx. 5c-6c	126				Tucker	Drafted and edited	Daniel, 9/4	Looks fine / little bit of editing.
			DCCCCLI			Add. 14,455	1#45	LXVII	LXVII	LXVII	67	67	Approx. 6c	128				Tucker	Drafted and edited	Daniel, 9/4	Edited Eusebian Canons and Ammonian Section/Gospel Harmony into msitems.
			DCCCCLII			Add. 17,114	1#45-46	LXVIII	LXVIII	LXVIII	68	68	Approx. 6c-7c	743				Tucker	Drafted		
			DCCCCLIII			Add. 14,457, foll. 1-198	1#47	LXX	LXX	LXX	70	70	Approx. 6c-7c	1193				Tucker	Drafted and edited	Tucker, 11/16	
